title,body,label
Sort order resets after filter,Applying a filter while sorted by date resets the sort order to default.,bug
CLI flags undocumented,The --verbose and --dry-run flags appear in help output but are not in the docs.,documentation
Side-by-side diff for edited comments,Show a diff view when editing a comment so reviewers can see what changed.,feature
Date picker shows wrong month,The calendar component displays December when November is selected.,bug
Broken links in getting-started guide,Three links in the getting-started guide return 404 errors.,documentation
Memory leak in dashboard component,The dashboard page memory usage climbs unbounded after navigating between tabs.,bug
Notification badge count is wrong,The unread notification count shows 5 but there are only 2 unread messages.,bug
Example .env file missing,There is no .env.example file; developers don't know what variables to configure.,documentation
Progress bar on milestone,Show a visual progress bar on milestone pages based on closed vs open issues.,feature
Swagger UI not embedded in docs,The OpenAPI spec exists but there is no interactive Swagger UI in the documentation site.,documentation
Webhook payload schema missing,There is no documentation of the JSON payload structure for outgoing webhooks.,documentation
Sort order resets after filter,Applying a filter while sorted by date resets the sort order to default.,bug
No troubleshooting section,Docs have no troubleshooting section; common errors send users to GitHub issues instead.,documentation
Browser notifications,Support native browser push notifications as an alternative to email.,feature
Empty dropdown on slow connection,On connections slower than 3G the autocomplete dropdown stays empty indefinitely.,bug
API endpoint for /users not documented,The /api/v1/users GET endpoint is missing from the API reference docs.,documentation
Priority levels for issues,Add priority fields (critical / high / medium / low) with visual indicators.,feature
Rate limit documentation incomplete,Docs mention rate limiting exists but don't specify limits per endpoint.,documentation
Test coverage report not published,There is no public test coverage report; contributors can't see which areas need tests.,documentation
Webhook secret not validated,The app accepts webhook payloads even when the HMAC signature is wrong.,bug
Webhook payload schema missing,There is no documentation of the JSON payload structure for outgoing webhooks.,documentation
Offline mode shows stale data,The PWA offline cache serves data from 7 days ago even when network is available.,bug
Search with filters,"The search bar should support filtering by date range, label, and assignee simultaneously.",feature
Invoice PDF shows wrong total,The subtotal on exported invoices does not include applied discount codes.,bug
API returns 500 on empty body,POSTing to /api/users with an empty JSON body returns 500 instead of 400.,bug
Internationalization format undocumented,The i18n message format (.po files) used by the project is not explained anywhere.,documentation
Offline mode shows stale data,The PWA offline cache serves data from 7 days ago even when network is available.,bug
Role change not effective until re-login,Changing a user's role from Viewer to Editor requires them to log out and back in.,bug
Bulk export to PDF,Add an option to export multiple records at once as a single PDF document.,feature
Add dark mode support,It would be great to have a dark theme option to reduce eye strain when working at night.,feature
GitHub Actions integration,Trigger CI/CD workflows directly from the UI without leaving the platform.,feature
OAuth app authorization page,Add a dedicated page listing all authorized OAuth apps with revoke buttons.,feature
Back button creates duplicate history entries,Using browser back adds duplicate entries to history on the settings page.,bug
Search highlights wrong term,The search result highlight marks the wrong word when query has multiple terms.,bug
Issue score / voting,Allow contributors to upvote issues to help maintainers prioritise by community demand.,feature
Data retention policies,Allow admins to configure automatic deletion of closed issues after N years.,feature
Table column widths collapse,Resizing the browser window causes all table columns to squeeze to minimum width.,bug
API authentication examples missing,The authentication docs explain Bearer tokens exist but show no curl or SDK example.,documentation
Custom issue templates,Allow repo admins to define issue templates so contributors fill out structured reports.,feature
Architecture diagram missing,New contributors ask repeatedly about the high-level architecture; a diagram would help.,documentation
Smart label suggestions,Automatically suggest labels based on issue title content using NLP.,feature
Export activity log to CSV,Add a download button on the activity log page to export it as CSV.,feature
Custom email domain for notifications,Allow organizations to send notification emails from their own domain.,feature
Issue dependency linking,Allow marking an issue as 'blocked by' or 'blocking' another issue.,feature
Tutorial for first issue submission,New contributors have no step-by-step tutorial for opening their first issue.,documentation
Search highlights wrong term,The search result highlight marks the wrong word when query has multiple terms.,bug
Webhook secret not validated,The app accepts webhook payloads even when the HMAC signature is wrong.,bug
Rich text editor for issue body,Replace the plain text field with a rich text editor supporting formatting and images.,feature
Docs should mention browser compatibility,There is no browser support matrix; users report issues on Safari with no guidance.,documentation
Dark mode toggle resets on refresh,Theme preference is not persisted; the app always loads in light mode.,bug
Add dark mode support,It would be great to have a dark theme option to reduce eye strain when working at night.,feature
